Split,Model,Accuracy,Precision,Recall,F1,ROC_AUC
Random,Logistic Regression,0.8209876543209876,0.8241758241758241,0.8522727272727273,0.8379888268156425,0.9106265356265356
Random,Decision Tree,0.8333333333333334,0.801980198019802,0.9204545454545454,0.8571428571428571,0.8250921375921376
Random,Random Forest,0.8641975308641975,0.851063829787234,0.9090909090909091,0.8791208791208791,0.9298986486486487
Question-Grouped,Logistic Regression,0.7908496732026143,0.8,0.8372093023255814,0.8181818181818182,0.874175633460604
Question-Grouped,Decision Tree,0.7581699346405228,0.7634408602150538,0.8255813953488372,0.7932960893854749,0.7486115931968067
Question-Grouped,Random Forest,0.7973856209150327,0.7956989247311828,0.8604651162790697,0.8268156424581006,0.8920513710517182
