Train,Test,Classifier,Accuracy,Precision,Recall,F1,ROC_AUC
OpenAI+Groq,DeepSeek,LogisticRegression,0.8074074074074075,0.762962962962963,0.8373983739837398,0.7984496124031008,0.874453846579282
OpenAI+Groq,DeepSeek,DecisionTree,0.8185185185185185,0.7605633802816901,0.8780487804878049,0.8150943396226416,0.823378131740501
OpenAI+Groq,DeepSeek,RandomForest,0.8185185185185185,0.7642857142857142,0.8699186991869918,0.8136882129277566,0.8588573640838449
OpenAI+DeepSeek,Groq,LogisticRegression,0.8560311284046692,0.9060402684563759,0.8544303797468354,0.8794788273615635,0.9279503899757063
OpenAI+DeepSeek,Groq,DecisionTree,0.7976653696498055,0.8533333333333334,0.810126582278481,0.8311688311688312,0.7939521800281293
OpenAI+DeepSeek,Groq,RandomForest,0.8949416342412452,0.9281045751633987,0.8987341772151899,0.9131832797427653,0.9494629842731108
Groq+DeepSeek,OpenAI,LogisticRegression,0.8566308243727598,0.8695652173913043,0.8805031446540881,0.875,0.9343815513626834
Groq+DeepSeek,OpenAI,DecisionTree,0.8315412186379928,0.8733333333333333,0.8238993710691824,0.8478964401294499,0.8327830188679246
Groq+DeepSeek,OpenAI,RandomForest,0.8673835125448028,0.8910256410256411,0.8742138364779874,0.8825396825396825,0.9375
